title,url,source,summary,author,published_at,keyword,relevance_score,tags,scraped_at
Learning Curves for Decision Making in Supervised Machine Learning: A Survey,http://arxiv.org/abs/2201.12150v2,arXiv,"Learning curves are a concept from social sciences that has been adopted in the context of machine learning to assess the performance of a learning algorithm with respect to a certain resource, e.g., the number of training examples or the number of training iterations. Learning curves have important applications in several machine learning contexts, most notably in data acquisition, early stopping","Felix Mohr, Jan N. van Rijn",2022-01-28 14:34,machine learning,1.0,cs.LG,2026-06-07 23:27
Physics-Inspired Interpretability Of Machine Learning Models,http://arxiv.org/abs/2304.02381v2,arXiv,"The ability to explain decisions made by machine learning models remains one of the most significant hurdles towards widespread adoption of AI in highly sensitive areas such as medicine, cybersecurity or autonomous driving. Great interest exists in understanding which features of the input data prompt model decision making. In this contribution, we propose a novel approach to identify relevant fea","Maximilian P Niroomand, David J Wales",2023-04-05 11:35,machine learning,0.917,"cs.LG, cs.AI",2026-06-07 23:27
Changing Data Sources in the Age of Machine Learning for Official Statistics,http://arxiv.org/abs/2306.04338v1,arXiv,"Data science has become increasingly essential for the production of official statistics, as it enables the automated collection, processing, and analysis of large amounts of data. With such data science practices in place, it enables more timely, more insightful and more flexible reporting. However, the quality and integrity of data-science-driven statistics rely on the accuracy and reliability o","Cedric De Boom, Michael Reusens",2023-06-07 11:08,machine learning,0.903,"stat.ML, cs.LG",2026-06-07 23:27
Ask HN: How to get started with machine learning?,https://news.ycombinator.com/item?id=12713056,Hacker News,"How should a software engineer with no machine learning background get started on the subject?
Do you think that getting started by learning a framework like TensorFlow is a good idea or should I gain a background knowledge first?",georgehdd,2016-10-15 07:04,machine learning,0.9,"tech, hacker-news",2026-06-07 23:27
Privacy-preserving machine learning for healthcare: open challenges and future perspectives,http://arxiv.org/abs/2303.15563v1,arXiv,"Machine Learning (ML) has recently shown tremendous success in modeling various healthcare prediction tasks, ranging from disease diagnosis and prognosis to patient treatment. Due to the sensitive nature of medical data, privacy must be considered along the entire ML pipeline, from model training to inference. In this paper, we conduct a review of recent literature concerning Privacy-Preserving Ma","Alejandro Guerra-Manzanares, L. Julian Lechuga Lopez, Michail Maniatakos",2023-03-27 19:20,machine learning,0.898,"cs.LG, cs.CR",2026-06-07 23:27
MerLin: A Discovery Engine for Photonic and Hybrid Quantum Machine Learning,http://arxiv.org/abs/2602.11092v2,arXiv,"Identifying where quantum models may offer practical benefits in near term quantum machine learning (QML) requires moving beyond isolated algorithmic proposals toward systematic and empirical exploration across models, datasets, and hardware constraints. We introduce MerLin, an open-source framework designed as a discovery engine for photonic and hybrid quantum machine learning. MerLin integrates ","Cassandre Notton, Benjamin Stott, Philippe Schoeb",2026-02-11 18:00,machine learning,0.873,"cs.LG, cs.PL, quant-ph",2026-06-07 23:27
A Benchmark Study of Machine Learning Models for Online Fake News Detection,http://arxiv.org/abs/1905.04749v2,arXiv,"The proliferation of fake news and its propagation on social media has become a major concern due to its ability to create devastating impacts. Different machine learning approaches have been suggested to detect fake news. However, most of those focused on a specific type of news (such as political) which leads us to the question of dataset-bias of the models used. In this research, we conducted a","Junaed Younus Khan, Md. Tawkat Islam Khondaker, Sadia Afroz",2019-05-12 17:15,machine learning,0.836,"cs.CL, cs.IR, cs.LG",2026-06-07 23:27
Active learning for data streams: a survey,http://arxiv.org/abs/2302.08893v4,arXiv,"Online active learning is a paradigm in machine learning that aims to select the most informative data points to label from a data stream. The problem of minimizing the cost associated with collecting labeled observations has gained a lot of attention in recent years, particularly in real-world applications where data is only available in an unlabeled form. Annotating each observation can be time-","Davide Cacciarelli, Murat Kulahci",2023-02-17 14:24,machine learning,0.719,"stat.ML, cs.LG, stat.ME",2026-06-07 23:27
Emotion in Reinforcement Learning Agents and Robots: A Survey,http://arxiv.org/abs/1705.05172v1,arXiv,"This article provides the first survey of computational models of emotion in reinforcement learning (RL) agents. The survey focuses on agent/robot emotions, and mostly ignores human user emotions. Emotions are recognized as functional in decision-making by influencing motivation and action selection. Therefore, computational emotion models are usually grounded in the agent's decision making archit","Thomas M. Moerland, Joost Broekens, Catholijn M. Jonker",2017-05-15 11:49,machine learning,0.626,"cs.LG, cs.AI, cs.HC",2026-06-07 23:27
Learning Representations from Dendrograms,http://arxiv.org/abs/1812.09225v4,arXiv,"We propose unsupervised representation learning and feature extraction from dendrograms. The commonly used Minimax distance measures correspond to building a dendrogram with single linkage criterion, with defining specific forms of a level function and a distance function over that. Therefore, we extend this method to arbitrary dendrograms. We develop a generalized framework wherein different dist","Morteza Haghir Chehreghani, Mostafa Haghir Chehreghani",2018-12-21 16:11,machine learning,0.582,"cs.LG, stat.ML",2026-06-07 23:27
Unsupervised Representation Learning with Minimax Distance Measures,http://arxiv.org/abs/1904.13223v3,arXiv,We investigate the use of Minimax distances to extract in a nonparametric way the features that capture the unknown underlying patterns and structures in the data. We develop a general-purpose and computationally efficient framework to employ Minimax distances with many machine learning methods that perform on numerical data. We study both computing the pairwise Minimax distances for all pairs of ,Morteza Haghir Chehreghani,2019-04-27 16:13,machine learning,0.544,"cs.LG, cs.AI, stat.ML",2026-06-07 23:27
Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course/,Hacker News,,matant,2018-03-01 16:39,machine learning,0.5,"tech, hacker-news",2026-06-07 23:27
"Machine Learning 101 slidedeck: 2 years of headbanging, so you don't have to",https://docs.google.com/presentation/d/1kSuQyW5DTnkVaZEjGYCkfOxvzCqGEFzWBy4e9Uedd9k/preview?imm_mid=0f9b7e&cmp=em-data-na-na-newsltr_20171213&slide=id.g183f28bdc3_0_90,Hacker News,,flor1s,2017-12-14 00:54,machine learning,0.5,"tech, hacker-news",2026-06-07 23:27
Apple's director of machine learning resigns due to return to office work,https://www.macrumors.com/2022/05/07/apple-director-of-machine-learning-resigns/,Hacker News,,carlycue,2022-05-07 20:33,machine learning,0.5,"tech, hacker-news",2026-06-07 23:27
Distill: a modern machine learning journal,http://distill.pub/about/,Hacker News,,jasikpark,2017-03-20 17:08,machine learning,0.5,"tech, hacker-news",2026-06-07 23:27
Math Basics for Computer Science and Machine Learning [pdf],http://www.cis.upenn.edu/~jean/math-basics.pdf,Hacker News,,oldgun,2019-07-30 22:48,machine learning,0.5,"tech, hacker-news",2026-06-07 23:27
Google supercharges machine learning tasks with TPU custom chip,https://cloudplatform.googleblog.com/2016/05/Google-supercharges-machine-learning-tasks-with-custom-chip.html,Hacker News,,hurrycane,2016-05-18 19:01,machine learning,0.5,"tech, hacker-news",2026-06-07 23:27
The First Rule of Machine Learning: Start Without Machine Learning,https://eugeneyan.com/writing/first-rule-of-ml/,Hacker News,,7d7n,2021-09-22 04:24,machine learning,0.5,"tech, hacker-news",2026-06-07 23:27
The State of Machine Learning Frameworks,https://thegradient.pub/state-of-ml-frameworks-2019-pytorch-dominates-research-tensorflow-dominates-industry/,Hacker News,,hughzhang,2019-10-10 16:12,machine learning,0.5,"tech, hacker-news",2026-06-07 23:27
The Chaostron: An Important Advance in Learning Machines (1961),https://dl.acm.org/doi/pdf/10.1145/358027.358047,Hacker News,,abrax3141,2022-10-15 00:28,machine learning,0.3,"tech, hacker-news",2026-06-07 23:27
